hash,date,bug,review,lines_added,lines_removed,num_revisions,time_uploaded,time_pushed,is_unittested,is_unittest_only,num_msg,time_plus2,num_unresolved_comments,category,is_buggy,researcher1,researcher2
efa62d959cf8f225477ab85d8ff42d5150007cf8,2017-11-09,crbug.com/783437,https://chromium-review.googlesource.com/764791,109,48,6,2017-11-10 22:16:09,2017-11-27 18:04:19,,,27,2017-11-22 17:58:35,5,,,,
d3a1e35bdfd412311998135dc8536a314c1078e5,2018-07-16,crbug.com/858621,https://chromium-review.googlesource.com/1138741,45,11,4,2018-07-16 18:47:03,2018-07-18 08:40:53,,,23,2018-07-17 18:51:39,0,,,,
0882a5198b58173044e8b4b28eb4d30b1bcfe230,2018-04-05,crbug.com/807976,https://chromium-review.googlesource.com/1011244,223,67,14,2018-04-12 20:57:55,2018-07-26 02:49:33,,,50,2018-07-25 20:43:58,5,,,,
3cd4df127c29eb90c0e203373edfbc9534c79169,2017-08-25,crbug.com/767120,https://chromium-review.googlesource.com/658298,492,44,32,2017-09-08 21:11:13,2017-11-07 01:27:47,,,70,2017-11-03 23:13:39,14,,,,
a03026822db430d22d56982696deda1fd3168e6c,2018-05-16,crbug.com/843622,https://chromium-review.googlesource.com/1062033,270,4,10,2018-05-16 16:58:40,2018-06-02 01:17:02,,,46,2018-05-29 20:53:52,0,,,,
7bc9c02869b90a5876bd74a97693a866f1c5ea5e,2017-11-07,crbug.com/782448,https://chromium-review.googlesource.com/756940,2,2,4,2017-11-07 22:43:49,2017-11-28 06:53:09,,,31,2017-11-27 21:10:54,0,,,,
90c57d7d59e350065da2dc973d359c28f613e95c,2018-02-07,crbug.com/810184,https://chromium-review.googlesource.com/907223,27,12,2,2018-02-08 00:43:15,2018-02-09 07:50:05,,,15,2018-02-08 21:33:16,0,,,,
71818c8409812c5a08124627c19aa8ea0625a72e,2018-03-06,crbug.com/815356,https://chromium-review.googlesource.com/965266,23,32,3,2018-03-15 22:52:28,2018-03-19 21:21:51,,,11,2018-03-19 17:52:49,0,,,,
a6f74d62033fb0291aa1d135fef640e26ffffab5,2017-10-13,crbug.com/774689,https://chromium-review.googlesource.com/719772,11,0,1,2017-10-13 23:38:58,2017-10-14 19:37:59,,,16,2017-10-14 00:12:22,0,,,,
e79eab633e42036e5aab62a69f31347127f136d1,2018-03-06,crbug.com/815356,https://chromium-review.googlesource.com/965265,2,0,3,2018-03-15 22:52:28,2018-03-17 01:34:43,,,11,2018-03-16 21:43:23,0,,,,
2a14d41ca514eca784b7b065791eaf97685caad8,2018-05-31,crbug.com/808495,https://chromium-review.googlesource.com/1085547,1,1,1,2018-06-04 17:21:41,2018-06-13 04:51:53,,,18,2018-06-11 21:19:30,0,,,,
99ced78e2e5d6ad70c6cd274300f42b9a56a65b1,2018-05-08,crbug.com/840432,https://chromium-review.googlesource.com/1049667,32,0,3,2018-05-08 11:10:03,2018-05-09 21:43:34,,,10,2018-05-08 21:44:15,0,,,,
ffbfdfb05d3ce4e9fe03aa103b63532870981771,2018-05-30,crbug.com/843622,https://chromium-review.googlesource.com/1078968,112,7,4,2018-05-30 12:52:58,2018-06-02 01:17:51,,,21,2018-05-31 13:11:20,0,,,,
